,favour,against,sentements,data,isPolitical,user,language,sentiments,Hindi,Political,Tag
40,[],"[""INC""]",[],"सभी कांग्रेसियों को खुली चुनौती है राहुल गांधी को वायनाड से भारत माता की जय बुलवादो
जमानत जब्त होगी",True,anup,Hindi,Others,सभी कांग्रेसियों को खुली चुनौती है राहुल गांधी को वायनाड से भारत माता की जय बुलवादोजमानत जब्त होगी,1,1
41,[],[],"[""Others""]",Kuch galat mat bajo bhai log,False,anup,Hindi,Others,Kuch galat mat bajo bhai log,0,1
42,[],[],[],"किसी को राहुल गांधी पर भरोसा हो तो मुझे 50000 रू दे दो...
72000 मिलते ही वापस कर दूंगी
",True,anup,Hindi,Others,किसी को राहुल गांधी पर भरोसा हो तो मुझे 50000 रू दे दो 72000 मिलते ही वापस कर दूंगी,1,1
43,[],[],"[""Others""]",Jai jagan jai bonthu,False,anup,Hindi,Others,Jai jagan jai bonthu,0,1
44,[],[],"[""Spam""]","* सुप्रभातम जी *

  *रिश्ते जब मज़बूत होते हैं..;*

 *तो बिना बोले महसूस होते हैं।*

*शुभममंगलम*",False,anup,Hindi,Spam,सुप्रभातम जी रिश्ते जब मज़बूत होते हैं तो बिना बोले महसूस होते हैंशुभममंगलम,0,3
46,[],"[""INC""]",[],#Namoagain लिखा टी-शर्ट पहन कर प्रियंका गाँधी  के कार्यक्रम में पहुँची छात्रा के साथ कांग्रेसियों की हरकत क्या जायज थी..?,True,anup,Hindi,Others,Namoagain लिखा टी-शर्ट पहन कर प्रियंका गाँधी के कार्यक्रम में पहुँची छात्रा के साथ कांग्रेसियों की हरकत क्या जायज थी,1,1
47,[],[],"[""Others""]",भाई वह ग्रुप का लिंक भेजा था इसलिए बाहर किया,False,anup,Hindi,Others,भाई वह ग्रुप का लिंक भेजा था इसलिए बाहर किया,0,1
49,[],[],"[""Others""]",Har group me,False,anup,Hindi,Others,Har group me,0,1
51,[],[],"[""Offensive""]",Jhanta denga sale kutte man,False,anup,Hindi,Offensive,Jhanta denga sale kutte man,0,0
56,"[""BJP""]",[],[],"ना C से Csk आयी,ना C से congress आयेगी 

M से मुंबई आयी है ओर,M से मोदी ही आएगा",True,anup,Hindi,Others,ना से Csk आयी ना से congress आयेगी से मुंबई आयी है ओर से मोदी ही आएगा,1,1
57,[],"[""INC""]",[],"आलु से सोना बनाया ,
 पानी से करंट निकाला , 
 2020 तक गधे से डीजल न मुतवा दे तो इसका नाम का़ँग्रेस नही 
",True,anup,Hindi,Others,आलु से सोना बनाया पानी से करंट निकाला 2020 तक गधे से डीजल मुतवा दे तो इसका नाम का़ँग्रेस नही,1,1
58,"[""BJP""]","[""INC""]",[],"*मैसेज फॉर राहुल गांधी*

*जब तू सो रहा था.....*
*""चौकीदार"" पाकिस्तान को धो रहा था.......*
",True,anup,Hindi,Others,मैसेज फॉर राहुल गांधीजब तू सो रहा था चौकीदार पाकिस्तान को धो रहा था,1,1
59,[],[],"[""Others""]",हाहाहा,False,anup,Hindi,Others,हाहाहा,0,1
60,[],[],"[""Others""]",बड़ी खबर अमेरिका ने अपने सभी नागरिकों को पाकिस्तान छोड़ने को कहा उम्मीद है कुछ बड़ा होगा,False,anup,Hindi,Others,बड़ी खबर अमेरिका ने अपने सभी नागरिकों को पाकिस्तान छोड़ने को कहा उम्मीद है कुछ बड़ा होगा,0,1
62,[],"[""BJP""]",[],"विदेशी मुद्रा भंडार 400 अरब डॉलर के पार पहुंचने की खबर पढ़ता व्यक्ति पूछता है मोदी ने क्या किया ?
",True,anup,Hindi,Others,विदेशी मुद्रा भंडार 400 अरब डॉलर के पार पहुंचने की खबर पढ़ता व्यक्ति पूछता है मोदी ने क्या किया,1,1
63,[],[],"[""Others""]","पोस्टर से गायब अनंत सिंह, क्या बारहवें खिलाड़ी बन जिताएंगे मैच ..

",False,anup,Hindi,Others,पोस्टर से गायब अनंत सिंह क्या बारहवें खिलाड़ी बन जिताएंगे मैच,0,1
64,[],[],"[""Others""]",Jio kya bat h,False,anup,Hindi,Others,Jio kya bat,0,1
65,"[""Others""]",[],[],"बड़ा हुआ तो क्या हुआ जैसे मायावती का हाथी
संसद में एक सांसद नहीं
प्रधानमंत्री के लिए ठोक रही है छाती 
     काफिर",False,anup,Hindi,Others,बड़ा हुआ तो क्या हुआ जैसे मायावती का हाथीसंसद में एक सांसद नहींप्रधानमंत्री के लिए ठोक रही है छाती काफिर,0,1
66,[],[],[],एक लोकसभा सीट हैं जहां पर खड़गवंशी समाज 2 लाख की संख्या में निवास करता है....,True,anup,Hindi,Others,एक लोकसभा सीट हैं जहां पर खड़गवंशी समाज लाख की संख्या में निवास करता है,1,1
67,[],[],"[""Others""]",गृपचे नाव भारी आहे,False,anup,Hindi,Others,गृपचे नाव भारी आहे,0,1
69,[],[],[],Jo mohabata dikhaya tha Kasab ko bap bnakr sb janta hai,True,anup,Hindi,Others,Jo mohabata dikhaya tha Kasab ko bap bnakr sb janta hai,1,1
70,[],[],[],ye ye bali lonk hai,False,anup,Hindi,Others,ye ye bali lonk hai,0,1
71,[],[],"[""Others""]","फ़ौज बदला लेने की तैयारी कर चुकी है
क्या आपमें महंगा पेट्रोल,डीजल,आलू,टमाटर,
प्याज खरीदने की हिम्मत है? इतना कर सकते हैं आप?",False,anup,Hindi,Others,फ़ौज बदला लेने की तैयारी कर चुकी हैक्या आपमें महंगा पेट्रोल डीजल आलू टमाटर प्याज खरीदने की हिम्मत है इतना कर सकते हैं आप,0,1
72,[],[],"[""Others""]",ये हाल है चमचों के,False,anup,Hindi,Others,ये हाल है चमचों के,0,1
73,[],"[""INC""]",[],"पूरा देश झुक जाऐगा ,राहुल गांधी तेरे सम्मान में।

सीने पे बारूद बांधकर,कूद जा पाकिस्तान में।।",True,anup,Hindi,Others,पूरा देश झुक जाऐगा राहुल गांधी तेरे सम्मान मेंसीने पे बारूद बांधकर कूद जा पाकिस्तान में,1,1
74,[],[],"[""Others""]",इस देश का,False,anup,Hindi,Others,इस देश का,0,1
75,[],[],[],"सर्जिकल स्ट्राइक पर फ्रांस ने दिया भारत का साथ, पाकिस्तान को दी नसीहत

via Dailyhunt

डाउनलोड करें:
",True,anup,Hindi,Others,सर्जिकल स्ट्राइक पर फ्रांस ने दिया भारत का साथ पाकिस्तान को दी नसीहतvia Dailyhuntडाउनलोड करें,1,1
76,"[""BJP""]","[""INC""]",[],"आज सर्वे के आंकड़ा से कांग्रेसी बेहोश हो गए
होश में आयेगे तब, जब बीजेपी 
350+ , 23 को परिणाम आयेंगे",True,anup,Hindi,Others,आज सर्वे के आंकड़ा से कांग्रेसी बेहोश हो गएहोश में आयेगे तब जब बीजेपी 350+ 23 को परिणाम आयेंगे,1,1
78,[],[],"[""Advertisement""]","देखो दोस्तो सनी देओल और राहुल गांधी की विडियो...
विडियो बनाने वाले को 21 तोपो की सलामी...    ",True,anup,Hindi,Advertisement,देखो दोस्तो सनी देओल और राहुल गांधी की विडियो विडियो बनाने वाले को 21 तोपो की सलामी,1,2
79,[],[],"[""Others""]","*जय श्री महाकाल *
*श्री महाकालेश्वर ज्योतिर्लिंग का आज का भस्मआरती श्रृंगार दर्शन*
*4 मार्च 2019 ( सोमवार )विशेष महाशिवरात्रि महापर्व*
",False,anup,Hindi,Others,जय श्री महाकाल श्री महाकालेश्वर ज्योतिर्लिंग का आज का भस्मआरती श्रृंगार दर्शन4 मार्च 2019 सोमवार विशेष महाशिवरात्रि महापर्व,0,1
80,[],[],"[""Offensive""]",Modi tumhara ma behen chodyga bhanky lodo,True,anup,Hindi,Offensive,Modi tumhara ma behen chodyga bhanky lodo,1,0
81,"[""BJP""]",[],[],अजय टमटा  है मजबूरी  मोदी जी जरूरी,True,anup,Hindi,Others,अजय टमटा है मजबूरी मोदी जी जरूरी,1,1
82,[],[],"[""Others""]",Grup me n send kare,False,anup,Hindi,Others,Grup me send kare,0,1
83,[],"[""INC""]","[""Others""]",Pappu mutra khao kasam,True,anup,Hindi,Others,Pappu mutra khao kasam,1,1
84,[],[],"[""Others""]",Juta or chor he ye,False,anup,Hindi,Others,Juta or chor he ye,0,1
85,[],[],"[""Others""]",Dimple  bhabhi,False,anup,Hindi,Others,Dimple bhabhi,0,1
86,[],[],"[""Others""]",Tum ho ndtv ka chashma pehne,True,anup,Hindi,Others,Tum ho ndtv ka chashma pehne,1,1
88,[],[],"[""Others""]",सुना है - पापियों को दोजख भी देर से नसीब होती है..!,False,anup,Hindi,Others,सुना है पापियों को दोजख भी देर से नसीब होती है,0,1
89,[],[],"[""Others""]","Google mai search karo bhai...
Ur educated dont share fake news",False,anup,Hindi,Others,Google mai search karo bhai Ur educated dont share fake news,0,1
91,"[""BJP""]",[],[],छप्पर फाड़ के मोदी भक्त बने है सिर्फ 5 साल में इतने तो तुम मिलकर 75 साल में कार्यकर्ता भी नही बना पाए और बराबरी करते है मोदी से,True,anup,Hindi,Others,छप्पर फाड़ के मोदी भक्त बने है सिर्फ साल में इतने तो तुम मिलकर 75 साल में कार्यकर्ता भी नही बना पाए और बराबरी करते है मोदी से,1,1
93,"[""BJP""]","[""INC""]",[],"बारातियों का स्वागत पानपराग से हो या न हो।
लेकिन इन कांग्रेसियों का स्वागत हर जगह मोदी-मोदी के नारों से जरूर होता है!!",True,anup,Hindi,Others,बारातियों का स्वागत पानपराग से हो या होलेकिन इन कांग्रेसियों का स्वागत हर जगह मोदी-मोदी के नारों से जरूर होता है,1,1
94,[],"[""BJP""]",[],"इस चुनाव में मोदी की हार का कारण क्या होगा - बेलगाम बेरोजगारी या अनियंत्रित भ्रष्टाचार?
हमें कमेंट करके बताएं।
#ModiMehangaPada ",True,anup,Hindi,Others,इस चुनाव में मोदी की हार का कारण क्या होगा बेलगाम बेरोजगारी या अनियंत्रित भ्रष्टाचार हमें कमेंट करके बताएं ModiMehangaPada,1,1
96,"[""BJP""]","[""INC""]",[],"शौपिया मे सेना ने काग्रेंस  के दो वोट व 
अब्बदुला परिवार के दो सदस्य कम किए
दो आतंकी ढ़ेर
#सेना का शौर्य
#मोदी56""",True,anup,Hindi,Others,शौपिया मे सेना ने काग्रेंस के दो वोट अब्बदुला परिवार के दो सदस्य कम किएदो आतंकी ढ़ेर सेना का शौर्य मोदी56,1,1
97,[],[],"[""Others""]",Yah fake hai kya??,False,anup,Hindi,Others,Yah fake hai kya,0,1
98,"[""BJP""]",[],[],_*850 साल बाद हिन्दू शाषक मिला है..नाम है नरेंद्र मोदी..कदर करो..वरना पतन के लिए तैयार रहो*_,True,anup,Hindi,Others,_850 साल बाद हिन्दू शाषक मिला हैनाम है नरेंद्र मोदीकदर करोवरना पतन के लिए तैयार रहो_,1,1
99,[],[],"[""Others""]",jay_bhim_,False,anup,Hindi,Others,jay_bhim_,0,1
100,[],[],[],"गर्मी बहुत है ठंडी बियर पी ली जाए।
प्रधानमंत्री पद का दावेदार ऐश अय्याशी करते हुए।",True,anup,Hindi,Others,गर्मी बहुत है ठंडी बियर पी ली जाएप्रधानमंत्री पद का दावेदार ऐश अय्याशी करते हुए,1,1
103,[],[],"[""Others""]",?? Iska jawab do,False,anup,Hindi,Others,Iska jawab do,0,1
105,[],[],"[""Others""]",Naya toh koi aayega hi nai,False,anup,Hindi,Others,Naya toh koi aayega hi nai,0,1
107,[],[],"[""Spam""]",Esko bahar nikalo group mese,False,anup,Hindi,Spam,Esko bahar nikalo group mese,0,3
108,[],[],"[""Offensive""]",मादरचोद,False,anup,Hindi,Offensive,मादरचोद,0,0
109,[],"[""INC""]",[],*शुक्र है किन्नरों का वोट बैंक नहीं है नहीं तो कांग्रेस वाले किन्नरों के वोट के लिए यह भी कह देते की पप्पू बचपन से हिजड़ा ही है*,True,anup,Hindi,Others,शुक्र है किन्नरों का वोट बैंक नहीं है नहीं तो कांग्रेस वाले किन्नरों के वोट के लिए यह भी कह देते की पप्पू बचपन से हिजड़ा ही है,1,1
110,[],[],"[""Others""]",*हम नए भारत के लोग हैं.. अब सब समझते हैं*,False,anup,Hindi,Others,हम नए भारत के लोग हैं अब सब समझते हैं,0,1
111,[],[],"[""Spam""]",Tu apna manmani chalarahai,False,anup,Hindi,Spam,Tu apna manmani chalarahai,0,3
112,[],[],[],"election se pahle Jarur Dekhen aapka Neta kaisa Ho

",True,anup,Hindi,Others,election se pahle Jarur Dekhen aapka Neta kaisa Ho,1,1
113,[],[],"[""Others""]",ग्रुप का नाम सही नहीं है,False,anup,Hindi,Others,ग्रुप का नाम सही नहीं है,0,1
115,[],[],"[""Advertisement""]","*Circle*
केवटाही मे निकाली गई मतदाता जागरूकता रैली


अपने शहर का अपना ऐप, अभी डाउनलोड करें-
",True,anup,Hindi,Advertisement,Circleकेवटाही मे निकाली गई मतदाता जागरूकता रैलीअपने शहर का अपना ऐप अभी डाउनलोड करें-,1,2
116,[],[],[],साल 1953 में सरकार से बिना परमिट लिए अपनी कश्मीर की  यात्रा में डॉ श्यामा प्रसाद मुखर्जी ने अटल बिहारी वाजपेयी जी से लौट जाने को कयों कहा?,True,anup,Hindi,Others,साल 1953 में सरकार से बिना परमिट लिए अपनी कश्मीर की यात्रा में डॉ श्यामा प्रसाद मुखर्जी ने अटल बिहारी वाजपेयी जी से लौट जाने को कयों कहा,1,1
117,"[""INC""]",[],[],nehru darpok,True,prathamesh,Hindi,Others,nehru darpok,1,1
118,[],[],"[""Others""]",Sabki send kar bhai,False,prathamesh,Hindi,Others,Sabki send kar bhai,0,1
119,[],[],"[""Others""]",Ye apne bhai he harpal bahut acche inshan he,False,prathamesh,Hindi,Others,Ye apne bhai he harpal bahut acche inshan he,0,1
120,[],[],[],"हिम्मत है तो चुनाव उन मुद्दों पर लड़िये जो जिन पर विपक्ष चुनौती दे रहा है

अधकचरे इतिहास ज्ञान से क्यों देश को भृमित कर रहे है !",True,prathamesh,Hindi,Others,हिम्मत है तो चुनाव उन मुद्दों पर लड़िये जो जिन पर विपक्ष चुनौती दे रहा हैअधकचरे इतिहास ज्ञान से क्यों देश को भृमित कर रहे है,1,1
121,[],[],[]," देखो मैंने क्या भेजा है ??? 
  
 special-msg.com/?n=Sakib-Rajput-",False,prathamesh,Hindi,Others,देखो मैंने क्या भेजा है special-msgcom/ n=Sakib-Rajput-,0,1
122,[],[],[],*हिमाचल प्रदेश भाजपा प्रदेश अध्यक्ष ने राहुल गांधी को माँ की गाली दी*,True,prathamesh,Hindi,Others,हिमाचल प्रदेश भाजपा प्रदेश अध्यक्ष ने राहुल गांधी को माँ की गाली दी,1,1
124,"[""BJP""]",[],[],सबसे खतरनाक प्रचार प्रसार bjp का,True,prathamesh,Hindi,Others,सबसे खतरनाक प्रचार प्रसार bjp का,1,1
125,"[""INC""]",[],[],ये है कांग्रेस का न्याय,True,prathamesh,Hindi,Others,ये है कांग्रेस का न्याय,1,1
126,"[""BJP""]",[],[],"नजर_लक्ष्य_पर_थी,
गिरे_और_संभलते_रहे,
हवाओं_ने_पूरा    _   ज़ोर_लगा_दिया,     ,   फ़िर_भी_चिराग़_जलते_रहे.

एक बार फिर मोदी सरकार
Namo-Namo
ठीक है",True,prathamesh,Hindi,Others,नजर_लक्ष्य_पर_थी गिरे_और_संभलते_रहे हवाओं_ने_पूरा ज़ोर_लगा_दिया फ़िर_भी_चिराग़_जलते_रहेएक बार फिर मोदी सरकारNamo-Namoठीक है,1,1
127,"[""Others""]",[],[],"कौन कहता है कि खुशबू सिर्फ गुलाब के फूल में होती है 

 जरा पतंग का बटन दबा के देख पूरा हिन्दुस्तान महकेगा ।",True,prathamesh,Hindi,Others,कौन कहता है कि खुशबू सिर्फ गुलाब के फूल में होती है जरा पतंग का बटन दबा के देख पूरा हिन्दुस्तान महकेगा,1,1
129,[],[],"[""Others""]",झूठा है तेरा वादा,False,prathamesh,Hindi,Others,झूठा है तेरा वादा,0,1
130,[],[],[],"आईएस टॉपर शाह फैसल को हिजबुल की धमकी 

*राजनीति में एंट्री को लेकर चेताया*

 ",True,prathamesh,Hindi,Others,आईएस टॉपर शाह फैसल को हिजबुल की धमकी राजनीति में एंट्री को लेकर चेताया,1,1
131,[],[],"[""Others""]",Fir 3 bje supreme court khulegi Pakistan k liye,False,prathamesh,Hindi,Others,Fir bje supreme court khulegi Pakistan liye,0,1
132,[],[],"[""Others""]","*प्रियंका गाँधी की गंगा यात्रा*

",False,prathamesh,Hindi,Others,प्रियंका गाँधी की गंगा यात्रा,0,1
133,[],"[""INC""]",[],"3 महीने पहले मध्यप्रदेश बिजली बेचता था
आज सरकार बदलने से मध्यप्रदेश की ही पूर्ति नही हो रही है इसी बदलाव की बोल रहे थे कांग्रेसी ",True,prathamesh,Hindi,Others,महीने पहले मध्यप्रदेश बिजली बेचता थाआज सरकार बदलने से मध्यप्रदेश की ही पूर्ति नही हो रही है इसी बदलाव की बोल रहे थे कांग्रेसी,1,1
135,[],"[""BJP""]",[],"तख्त बदल दो,
         ताज बदल दो,
जुमलेबाजों का ये राज बदल दो l",True,prathamesh,Hindi,Others,तख्त बदल दो ताज बदल दो जुमलेबाजों का ये राज बदल दो,1,1
136,[],[],"[""Others""]","

*पाकिस्तान वालों को समझ में तो आ गया होगा...*

.

.

.

.

*जो खाने को टमाटर नहीं दे रहे वो कश्मीर क्या घंटा देंगे......!!!*
",False,prathamesh,Hindi,Others,पाकिस्तान वालों को समझ में तो गया होगा जो खाने को टमाटर नहीं दे रहे वो कश्मीर क्या घंटा देंगे,0,1
137,"[""BJP""]",[],[],"*गद्दारी के किले ढह गए राष्ट्रवाद की तोप से*।

*सांप -नेवले एक हो गए #मोदी तेरे खौफ से*।।",True,prathamesh,Hindi,Others,गद्दारी के किले ढह गए राष्ट्रवाद की तोप सेसांप -नेवले एक हो गए मोदी तेरे खौफ से,1,1
138,[],[],"[""Spam""]",यह वीडियो जरूर देखें मैं आपको चैलेंज करता हूं कि इतनी बढ़िया बात आज तक किसी ने नहीं कहीं होगी और यह बात हर जगह पहुंचने चाहिए,False,prathamesh,Hindi,Spam,यह वीडियो जरूर देखें मैं आपको चैलेंज करता हूं कि इतनी बढ़िया बात आज तक किसी ने नहीं कहीं होगी और यह बात हर जगह पहुंचने चाहिए,0,3
139,[],[],"[""Others""]",बहुत बहुत अच्छी बात कही इन महिला एकदम सच्चाई बता दी सारी खोल के,False,prathamesh,Hindi,Others,बहुत बहुत अच्छी बात कही इन महिला एकदम सच्चाई बता दी सारी खोल के,0,1
